config,ablation,seed,best_epoch,n_train,n_val,n_test,alpha,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6
protocl_gnn,full,44,2,17051,2273,3410,,,0.8334310850439882,0.27692307692307694,0.42857142857142855,0.3364485981308411,0.7475219389968089,0.3150887096452231,0.6531276140905289,0.422360248447205,0.29867256637168144,0.21814254859611232
bilstm_ref,full,44,2,17051,2273,3410,,,0.8363636363636363,0.3238095238095238,0.6071428571428571,0.422360248447205,0.8278132454998915,0.3236996109772612,0.7342806022864579,0.4111111111111111,0.3524804177545692,0.3284552845528455
protocl_late_fusion,full,44,2,17051,2273,3410,0.55,0.475,0.8495601173020528,0.3393829401088929,0.5565476190476191,0.42164599774520856,0.8046804806828391,0.32956101466956483,0.7190675635901727,0.40229885057471265,0.3623529411764706,0.32532051282051283
