alpha_cell,alpha_mean,alpha_std,best_epoch_cell,best_epoch_mean,best_epoch_std,config,f1_cell,f1_mean,f1_std,n_seeds,pr_auc_cell,pr_auc_mean,pr_auc_std,prec_at_rec_0.2_cell,prec_at_rec_0.2_mean,prec_at_rec_0.2_std,prec_at_rec_0.4_cell,prec_at_rec_0.4_mean,prec_at_rec_0.4_std,prec_at_rec_0.6_cell,prec_at_rec_0.6_mean,prec_at_rec_0.6_std,precision_cell,precision_mean,precision_std,recall_cell,recall_mean,recall_std,roc_auc_cell,roc_auc_mean,roc_auc_std,threshold_cell,threshold_mean,threshold_std
,,,2.000 ± 1.000,2.0,1.0,protocl_gnn,0.339 ± 0.033,0.3386222904282266,0.0327936595085932,3,0.320 ± 0.062,0.3201605955746218,0.06178724846499111,0.459 ± 0.103,0.4586896432039298,0.10298268733878709,0.307 ± 0.042,0.30704721634954196,0.042496350725873815,0.222 ± 0.022,0.2223630306494555,0.021542378810059163,0.285 ± 0.017,0.2849731941476859,0.01690572556724175,0.424 ± 0.081,0.4236111111111111,0.08130685114945578,0.756 ± 0.022,0.7561014809306937,0.021755799926542044,,,
,,,2.000 ± 1.000,2.0,1.0,bilstm_ref,0.413 ± 0.018,0.41328686607285503,0.017565786874807733,3,0.292 ± 0.031,0.2916159537163185,0.031330541133487315,0.353 ± 0.053,0.3526261174968071,0.053468979946188044,0.331 ± 0.023,0.33090750420540976,0.023269054688103807,0.320 ± 0.013,0.31990654153613146,0.013175234272465265,0.309 ± 0.013,0.3091550721429937,0.012897120278309014,0.627 ± 0.068,0.626984126984127,0.0676933417033015,0.824 ± 0.009,0.8241117255837489,0.009109663801032028,,,
0.683 ± 0.284,0.6833333333333332,0.2843120351538663,2.000 ± 1.000,2.0,1.0,protocl_late_fusion,0.425 ± 0.015,0.4253903452398669,0.014569979628569485,3,0.323 ± 0.031,0.323177724956533,0.030928281693649702,0.388 ± 0.033,0.38804244188859577,0.03267717734319861,0.349 ± 0.017,0.3489883478985812,0.017364156417792365,0.328 ± 0.019,0.32848599549189,0.018577705877462426,0.323 ± 0.015,0.3230889481830766,0.014823912554999352,0.623 ± 0.015,0.623015873015873,0.014979830228711811,0.831 ± 0.012,0.8310093745804545,0.012165968092514277,0.367 ± 0.113,0.36666666666666664,0.11273124382057234
