config,dataset,ablation,seed,best_epoch,n_train,n_val,n_test,alpha,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6
protocl_gnn,reveal,noproto,42,2,17051,2273,3410,,,0.849266862170088,0.2717948717948718,0.31547619047619047,0.29201101928374656,0.756068078662825,0.240533386786398,0.6115442110481147,0.31555555555555553,0.2571428571428571,0.23298731257208766
bilstm_ref,reveal,noproto,42,2,17051,2273,3410,,,0.826099706744868,0.2995319812792512,0.5714285714285714,0.3930399181166837,0.8137339475477894,0.2610971775384907,0.7126824054280138,0.30625,0.30625,0.3047337278106509
protocl_late_fusion,reveal,noproto,42,2,17051,2273,3410,0.6000000000000001,0.35,0.8167155425219942,0.3049932523616734,0.6726190476190477,0.41968430826369546,0.8284580544970103,0.28174017171752497,0.7525424450847353,0.3285302593659942,0.3270735524256651,0.3270735524256651
