alpha_cell,alpha_mean,alpha_std,best_epoch_cell,best_epoch_mean,best_epoch_std,config,f1_cell,f1_mean,f1_std,n_seeds,pr_auc_cell,pr_auc_mean,pr_auc_std,prec_at_rec_0.2_cell,prec_at_rec_0.2_mean,prec_at_rec_0.2_std,prec_at_rec_0.4_cell,prec_at_rec_0.4_mean,prec_at_rec_0.4_std,prec_at_rec_0.6_cell,prec_at_rec_0.6_mean,prec_at_rec_0.6_std,precision_cell,precision_mean,precision_std,recall_cell,recall_mean,recall_std,roc_auc_cell,roc_auc_mean,roc_auc_std,threshold_cell,threshold_mean,threshold_std
,,,2.333 ± 0.577,2.3333333333333335,0.5773502691896258,protocl_gnn,0.340 ± 0.032,0.34033658937222566,0.03175464372103319,3,0.320 ± 0.050,0.31997865945421866,0.05013695317558244,0.415 ± 0.037,0.4149930986887509,0.0368658065278246,0.306 ± 0.043,0.30605991503612734,0.043055977622555176,0.233 ± 0.020,0.23337120347594742,0.01999943979334719,0.296 ± 0.033,0.29566686543430726,0.032620240702326185,0.403 ± 0.042,0.40277777777777773,0.04212474949516297,0.765 ± 0.019,0.7650313432681681,0.018658062295510515,,,
,,,2.333 ± 0.577,2.3333333333333335,0.5773502691896258,bilstm_ref,0.413 ± 0.018,0.41328686607285503,0.017565786874807733,3,0.292 ± 0.031,0.2916159537163185,0.031330541133487315,0.353 ± 0.053,0.3526261174968071,0.053468979946188044,0.331 ± 0.023,0.33090750420540976,0.023269054688103807,0.320 ± 0.013,0.31990654153613146,0.013175234272465265,0.309 ± 0.013,0.3091550721429937,0.012897120278309014,0.627 ± 0.068,0.626984126984127,0.0676933417033015,0.824 ± 0.009,0.8241117255837489,0.009109663801032028,,,
0.600 ± 0.050,0.6,0.04999999999999999,2.333 ± 0.577,2.3333333333333335,0.5773502691896258,protocl_late_fusion,0.433 ± 0.011,0.4326964939241858,0.011076315587455574,3,0.325 ± 0.034,0.3245327772774136,0.03445024083105773,0.399 ± 0.055,0.3994168561030534,0.05541371128490653,0.348 ± 0.015,0.3480469229641226,0.014788143273508225,0.334 ± 0.010,0.33445944356961305,0.010059524633917398,0.330 ± 0.008,0.3304867534931815,0.00826213155004447,0.631 ± 0.066,0.6309523809523809,0.06581352496278566,0.827 ± 0.021,0.8268000433745392,0.021432535028399667,0.392 ± 0.076,0.3916666666666666,0.07637626158259735
