config,dataset,ablation,seed,best_epoch,n_train,n_val,n_test,alpha,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6
protocl_gnn,reveal,nodual,44,6,17051,2273,3410,,,0.849266862170088,0.3048245614035088,0.41369047619047616,0.351010101010101,0.7255708399169688,0.2854283552842353,0.6552837546859993,0.38571428571428573,0.31322505800464034,0.2007835455435847
bilstm_ref,reveal,nodual,44,6,17051,2273,3410,,,0.8363636363636363,0.3238095238095238,0.6071428571428571,0.422360248447205,0.8278132454998915,0.3236996109772612,0.7342806022864579,0.4111111111111111,0.3524804177545692,0.3284552845528455
protocl_late_fusion,reveal,nodual,44,6,17051,2273,3410,0.8500000000000001,0.2,0.8272727272727273,0.3142437591776799,0.6369047619047619,0.42084562438544737,0.825588364005329,0.3220129871569165,0.7424927192737862,0.4146341463414634,0.36180904522613067,0.33171521035598706
