config,dataset,ablation,seed,best_epoch,n_train,n_val,n_test,alpha,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6
protocl_gnn,reveal,noproto,44,2,17051,2273,3410,,,0.8299120234604106,0.2874564459930314,0.49107142857142855,0.3626373626373626,0.7608073279734796,0.3279416769007859,0.6790100148712706,0.41975308641975306,0.33251231527093594,0.229806598407281
bilstm_ref,reveal,noproto,44,2,17051,2273,3410,,,0.8363636363636363,0.3238095238095238,0.6071428571428571,0.422360248447205,0.8278132454998915,0.3236996109772612,0.7342806022864579,0.4111111111111111,0.3524804177545692,0.3284552845528455
protocl_late_fusion,reveal,noproto,44,2,17051,2273,3410,0.8,0.25,0.827565982404692,0.3157894736842105,0.6428571428571429,0.4235294117647059,0.8238543506211854,0.3344835620844878,0.7453062552281811,0.4339622641509434,0.35634743875278396,0.33114754098360655
