accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6,seed,policy,alpha,threshold,reveal_val_score,n_ood,n_ood_pos,selection
0.8738738738738738,0.10526315789473684,0.03636363636363636,0.05405405405405406,0.6422181818181818,0.14679095811752516,0.5011818181818182,0.20454545454545456,0.16558441558441558,0.14228456913827656,42,val_f1,0.6000000000000001,0.37499999999999994,0.4549483013293944,1110,110,ReVeal validation only; frozen on wild OOD
0.8684684684684685,0.125,0.05454545454545454,0.0759493670886076,0.645590909090909,0.15047134319646954,0.5062727272727272,0.21686746987951808,0.1736111111111111,0.14314928425357873,42,val_pr_auc,0.5,0.39999999999999997,0.30890215018711165,1110,110,ReVeal validation only; frozen on wild OOD
0.881981981981982,0.13793103448275862,0.03636363636363636,0.05755395683453238,0.6527636363636364,0.16043404986230786,0.5056818181818181,0.2348993288590604,0.1796875,0.14732142857142858,42,val_f1_graph_cap,0.30000000000000004,0.5499999999999999,0.41680672268907565,1110,110,ReVeal validation only; frozen on wild OOD
0.8675675675675676,0.16363636363636364,0.08181818181818182,0.10909090909090909,0.660209090909091,0.17370440699528927,0.5179090909090909,0.24793388429752067,0.18532818532818532,0.15296803652968036,42,gnn_only,0.0,0.725,0.3807763401109057,1110,110,ReVeal validation only; frozen on wild OOD
0.8747747747747747,0.08571428571428572,0.02727272727272727,0.041379310344827586,0.5190818181818182,0.10201757751543841,0.4976363636363636,0.11091549295774648,0.11091549295774648,0.10960960960960961,42,seq_only,1.0,0.37499999999999994,0.43759630200308164,1110,110,ReVeal validation only; frozen on wild OOD
0.8666666666666667,0.06818181818181818,0.02727272727272727,0.03896103896103896,0.5884727272727274,0.12047077687173871,0.4931363636363636,0.1404494382022472,0.1371571072319202,0.12972972972972974,43,val_f1,0.65,0.32499999999999996,0.4744186046511628,1110,110,ReVeal validation only; frozen on wild OOD
0.8666666666666667,0.047619047619047616,0.01818181818181818,0.02631578947368421,0.599418181818182,0.12799822839569366,0.4890909090909091,0.1523809523809524,0.1513157894736842,0.13214990138067062,43,val_pr_auc,0.4,0.475,0.3528610228950162,1110,110,ReVeal validation only; frozen on wild OOD
0.8873873873873874,0.0,0.0,0.0,0.6042181818181819,0.13035880172365621,0.4925,0.1602787456445993,0.1602787456445993,0.132,43,val_f1_graph_cap,0.30000000000000004,0.6,0.4155251141552511,1110,110,ReVeal validation only; frozen on wild OOD
0.8666666666666667,0.1346153846153846,0.06363636363636363,0.08641975308641975,0.6199363636363636,0.1371373414184535,0.5093181818181818,0.1649122807017544,0.1649122807017544,0.1416490486257928,43,gnn_only,0.0,0.725,0.38016528925619836,1110,110,ReVeal validation only; frozen on wild OOD
0.8531531531531531,0.07936507936507936,0.045454545454545456,0.057803468208092484,0.5055090909090909,0.09622062091449385,0.4937272727272727,0.10743801652892562,0.10743801652892562,0.10743801652892562,43,seq_only,1.0,0.22499999999999998,0.4409221902017291,1110,110,ReVeal validation only; frozen on wild OOD
0.8855855855855855,0.16,0.03636363636363636,0.05925925925925926,0.6379818181818181,0.14532058430216205,0.5076818181818181,0.1729957805907173,0.16541353383458646,0.14596949891067537,44,val_f1,0.55,0.475,0.4521452145214521,1110,110,ReVeal validation only; frozen on wild OOD
0.8684684684684685,0.16666666666666666,0.08181818181818182,0.10975609756097561,0.6412,0.14899442289945886,0.5184090909090909,0.18110236220472442,0.16363636363636364,0.14692982456140352,44,val_pr_auc,0.5,0.44999999999999996,0.342495999486986,1110,110,ReVeal validation only; frozen on wild OOD
0.8918918918918919,0.14285714285714285,0.01818181818181818,0.03225806451612903,0.6524818181818182,0.1564949424069062,0.503090909090909,0.1895734597156398,0.17391304347826086,0.15207373271889402,44,val_f1_graph_cap,0.30000000000000004,0.65,0.4132841328413284,1110,110,ReVeal validation only; frozen on wild OOD
0.8405405405405405,0.16161616161616163,0.14545454545454545,0.15311004784688995,0.6589363636363637,0.15709852710675715,0.5312272727272728,0.18811881188118812,0.17037037037037037,0.15681818181818183,44,gnn_only,0.0,0.825,0.3685092127303183,1110,110,ReVeal validation only; frozen on wild OOD
0.8648648648648649,0.08333333333333333,0.03636363636363636,0.05063291139240506,0.4861545454545455,0.09328840972590874,0.49618181818181817,0.1071932299012694,0.1071932299012694,0.1071932299012694,44,seq_only,1.0,0.25,0.4484848484848485,1110,110,ReVeal validation only; frozen on wild OOD
