policy,n_seeds,alpha_mean,f1_mean,f1_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std
val_f1,3,0.6,0.05075811742478409,0.01054285708510237,0.13752743976380863,0.014789787407177724,0.6228909090909092,0.029882187402647368,0.11114832535885166,0.046191135785556094,0.03333333333333333,0.005248638810814779
val_pr_auc,3,0.4666666666666666,0.07067375137442247,0.04196957641313937,0.14248799816387403,0.01257021854790463,0.6287363636363636,0.025485032067943846,0.1130952380952381,0.06041006883983464,0.051515151515151514,0.03192622349349315
val_f1_graph_cap,3,0.30000000000000004,0.02993734045022047,0.028847076229149626,0.14909593133095675,0.016345921856135377,0.6364878787878788,0.02794673258645726,0.09359605911330049,0.08109397848844496,0.01818181818181818,0.01818181818181818
gnn_only,3,0.0,0.11620690334140626,0.03390983462713187,0.15598009184016665,0.018309171043750648,0.6463606060606061,0.022892911554650213,0.15328930328930332,0.01620360247076877,0.09696969696969697,0.04296196023866007
seq_only,3,1.0,0.049938563315108375,0.008234065206123629,0.097175536051947,0.0044422392736370555,0.5035818181818182,0.016548024275967688,0.08280423280423281,0.0032075014954979233,0.03636363636363636,0.009090909090909092
