accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6,alpha,threshold_oracle,oracle_f1_at_best_th,kind,seed
0.8243243243243243,0.23270440251572327,0.33636363636363636,0.275092936802974,0.660209090909091,0.17370440699528927,0.6071818181818182,0.24793388429752067,0.18532818532818532,0.15296803652968036,0.0,0.625,0.275092936802974,ood_oracle_analysis_only,42
0.827027027027027,0.23376623376623376,0.32727272727272727,0.2727272727272727,0.6585545454545455,0.17168655963511087,0.6046363636363636,0.25203252032520324,0.1859504132231405,0.15261958997722094,0.05,0.6,0.2727272727272727,ood_oracle_analysis_only,42
0.8297297297297297,0.2348993288590604,0.3181818181818182,0.2702702702702703,0.6574363636363636,0.16989088325938978,0.6020909090909091,0.2440944881889764,0.1836734693877551,0.15192743764172337,0.1,0.575,0.2702702702702703,ood_oracle_analysis_only,42
0.8117117117117117,0.21714285714285714,0.34545454545454546,0.26666666666666666,0.656190909090909,0.1660956211741894,0.6042272727272727,0.2366412213740458,0.18072289156626506,0.1515837104072398,0.15000000000000002,0.525,0.26666666666666666,ood_oracle_analysis_only,42
0.8333333333333334,0.23776223776223776,0.3090909090909091,0.26877470355731226,0.655309090909091,0.16452606408219045,0.6000454545454545,0.24113475177304963,0.17985611510791366,0.15090090090090091,0.2,0.525,0.26877470355731226,ood_oracle_analysis_only,42
0.8162162162162162,0.22023809523809523,0.33636363636363636,0.26618705035971224,0.6538272727272727,0.16222627269934686,0.6026818181818182,0.23404255319148937,0.18110236220472442,0.1493212669683258,0.25,0.475,0.26618705035971224,ood_oracle_analysis_only,42
0.8153153153153153,0.2155688622754491,0.32727272727272727,0.259927797833935,0.6527636363636364,0.16043404986230786,0.5981363636363637,0.2348993288590604,0.1796875,0.14732142857142858,0.30000000000000004,0.44999999999999996,0.259927797833935,ood_oracle_analysis_only,42
0.8216216216216217,0.225,0.32727272727272727,0.26666666666666666,0.6511,0.15841512805590213,0.6016363636363636,0.23684210526315788,0.17624521072796934,0.1462882096069869,0.35000000000000003,0.42499999999999993,0.26666666666666666,ood_oracle_analysis_only,42
0.8009009009009009,0.20634920634920634,0.35454545454545455,0.2608695652173913,0.649390909090909,0.15602766750330277,0.6022727272727273,0.23225806451612904,0.17375886524822695,0.14473684210526316,0.4,0.37499999999999994,0.2608695652173913,ood_oracle_analysis_only,42
0.8045045045045045,0.20765027322404372,0.34545454545454546,0.2593856655290102,0.6472,0.15300407725927467,0.6002272727272727,0.2236024844720497,0.17253521126760563,0.14344262295081966,0.45,0.35,0.2593856655290102,ood_oracle_analysis_only,42
0.8063063063063063,0.2033898305084746,0.32727272727272727,0.2508710801393728,0.645590909090909,0.15047134319646954,0.5931363636363636,0.21686746987951808,0.1736111111111111,0.14314928425357873,0.5,0.32499999999999996,0.2508710801393728,ood_oracle_analysis_only,42
0.8126126126126126,0.20833333333333334,0.3181818181818182,0.2517985611510791,0.6440272727272728,0.14859477570528,0.5925909090909091,0.21301775147928995,0.16988416988416988,0.142570281124498,0.55,0.3,0.2517985611510791,ood_oracle_analysis_only,42
0.7864864864864864,0.19617224880382775,0.37272727272727274,0.25705329153605017,0.6422181818181818,0.14679095811752516,0.6023636363636363,0.20454545454545456,0.16558441558441558,0.14228456913827656,0.6000000000000001,0.25,0.25705329153605017,ood_oracle_analysis_only,42
0.7891891891891892,0.19607843137254902,0.36363636363636365,0.25477707006369427,0.6397818181818182,0.14388214339887878,0.5998181818181818,0.20652173913043478,0.1624203821656051,0.14342629482071714,0.65,0.22499999999999998,0.25477707006369427,ood_oracle_analysis_only,42
0.7945945945945946,0.19270833333333334,0.33636363636363636,0.24503311258278146,0.6370090909090909,0.14149351473016544,0.5906818181818182,0.1958762886597938,0.16129032258064516,0.14285714285714285,0.7000000000000001,0.2,0.24503311258278146,ood_oracle_analysis_only,42
0.6252252252252253,0.14908256880733944,0.5909090909090909,0.23809523809523808,0.633809090909091,0.13852750760280502,0.6099545454545454,0.18627450980392157,0.15723270440251572,0.14473684210526316,0.75,0.1,0.23809523809523808,ood_oracle_analysis_only,42
0.6063063063063063,0.14533622559652928,0.6090909090909091,0.23467600700525393,0.6310181818181818,0.1362734841798003,0.6075454545454546,0.1822429906542056,0.15644171779141106,0.15192743764172337,0.8,0.075,0.23467600700525393,ood_oracle_analysis_only,42
0.7684684684684685,0.17333333333333334,0.35454545454545455,0.23283582089552238,0.6283090909090909,0.13428831659466567,0.5842727272727273,0.1774891774891775,0.15472779369627507,0.14912280701754385,0.8500000000000001,0.1,0.23283582089552238,ood_oracle_analysis_only,42
0.6549549549549549,0.14910025706940874,0.5272727272727272,0.23246492985971945,0.6230727272727272,0.13195873167205704,0.5981363636363637,0.1700404858299595,0.15176151761517614,0.1506849315068493,0.9,0.05,0.23246492985971945,ood_oracle_analysis_only,42
0.8018018018018018,0.10714285714285714,0.13636363636363635,0.12,0.6110636363636364,0.12662894204939235,0.5056818181818181,0.15584415584415584,0.1554054054054054,0.14042553191489363,0.9500000000000001,0.05,0.12,ood_oracle_analysis_only,42
0.8333333333333334,0.10526315789473684,0.09090909090909091,0.0975609756097561,0.5190818181818182,0.10201757751543841,0.5029545454545454,0.11091549295774648,0.11091549295774648,0.10960960960960961,1.0,0.075,0.0975609756097561,ood_oracle_analysis_only,42
0.727027027027027,0.16376306620209058,0.42727272727272725,0.2367758186397985,0.6199363636363636,0.1371373414184535,0.5936363636363636,0.1649122807017544,0.1649122807017544,0.1416490486257928,0.0,0.2,0.2367758186397985,ood_oracle_analysis_only,43
0.7171171171171171,0.16225165562913907,0.44545454545454544,0.23786407766990292,0.6162272727272727,0.13598068082467335,0.5962272727272727,0.16376306620209058,0.16376306620209058,0.1437908496732026,0.05,0.175,0.23786407766990292,ood_oracle_analysis_only,43
