config,dataset,seed,best_epoch,alpha,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6,split,n_ood,n_ood_pos,ckpt
protocl_gnn,wild_ood,44,2,0.55,0.475,0.6522522522522523,0.155,0.5636363636363636,0.24313725490196078,0.6589363636363637,0.15709852710675715,0.6128181818181818,0.18811881188118812,0.17037037037037037,0.15681818181818183,wild_ood,1110,110,C:\Users\admin\Desktop\NIR_1st_sem\results_publish\seed_44\protocl_best.pt
bilstm_ref,wild_ood,44,2,0.55,0.475,0.8792792792792793,0.07142857142857142,0.01818181818181818,0.028985507246376812,0.4861545454545455,0.09328840972590874,0.4960909090909091,0.1071932299012694,0.1071932299012694,0.1071932299012694,wild_ood,1110,110,C:\Users\admin\Desktop\NIR_1st_sem\results_publish\seed_44\protocl_best.pt
protocl_late_fusion,wild_ood,44,2,0.55,0.475,0.8855855855855855,0.16,0.03636363636363636,0.05925925925925926,0.6379818181818181,0.14532058430216205,0.5076818181818181,0.1729957805907173,0.16541353383458646,0.14596949891067537,wild_ood,1110,110,C:\Users\admin\Desktop\NIR_1st_sem\results_publish\seed_44\protocl_best.pt
