config,dataset,ablation,seed,best_epoch,n_train,n_val,n_test,alpha,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6
protocl_gnn,reveal,nomotif,43,3,17051,2273,3410,,,0.8375366568914956,0.3010948905109489,0.49107142857142855,0.3733031674208145,0.7800179888155653,0.3834963039530225,0.6832390324379589,0.5619834710743802,0.3484848484848485,0.2436670687575392
bilstm_ref,reveal,nomotif,43,3,17051,2273,3410,,,0.8123167155425219,0.30412371134020616,0.7023809523809523,0.4244604316546763,0.8307879837035659,0.29005107263320346,0.7633570344207949,0.34051724137931033,0.3339920948616601,0.32653061224489793
protocl_late_fusion,reveal,nomotif,43,3,17051,2273,3410,0.6000000000000001,0.37499999999999994,0.8410557184750733,0.33753943217665616,0.6369047619047619,0.44123711340206184,0.8444543521702761,0.3538417610853336,0.7501374817981845,0.40236686390532544,0.3643410852713178,0.3470790378006873
