alpha_cell,alpha_mean,alpha_std,best_epoch_cell,best_epoch_mean,best_epoch_std,config,f1_cell,f1_mean,f1_std,n_seeds,pr_auc_cell,pr_auc_mean,pr_auc_std,prec_at_rec_0.2_cell,prec_at_rec_0.2_mean,prec_at_rec_0.2_std,prec_at_rec_0.4_cell,prec_at_rec_0.4_mean,prec_at_rec_0.4_std,prec_at_rec_0.6_cell,prec_at_rec_0.6_mean,prec_at_rec_0.6_std,precision_cell,precision_mean,precision_std,recall_cell,recall_mean,recall_std,roc_auc_cell,roc_auc_mean,roc_auc_std,threshold_cell,threshold_mean,threshold_std
,,,2.667 ± 1.155,2.6666666666666665,1.1547005383792515,protocl_gnn,0.351 ± 0.054,0.3508861107232885,0.053967696658206984,3,0.314 ± 0.068,0.31405316860937466,0.0676532991244886,0.403 ± 0.080,0.4026371272337787,0.07991039705889642,0.333 ± 0.077,0.3333298396394508,0.07659901672204389,0.244 ± 0.022,0.24416227829263337,0.022167310040688774,0.300 ± 0.037,0.300377219889415,0.0367859086857513,0.428 ± 0.097,0.42757936507936506,0.09736889648662672,0.766 ± 0.014,0.7663766317088535,0.013953310466881452,,,
,,,2.667 ± 1.155,2.6666666666666665,1.1547005383792515,bilstm_ref,0.413 ± 0.018,0.41328686607285503,0.017565786874807733,3,0.292 ± 0.031,0.2916159537163185,0.031330541133487315,0.353 ± 0.053,0.3526261174968071,0.053468979946188044,0.331 ± 0.023,0.33090750420540976,0.023269054688103807,0.320 ± 0.013,0.31990654153613146,0.013175234272465265,0.309 ± 0.013,0.3091550721429937,0.012897120278309014,0.627 ± 0.068,0.626984126984127,0.0676933417033015,0.824 ± 0.009,0.8241117255837489,0.009109663801032028,,,
0.683 ± 0.104,0.6833333333333332,0.10408329997330662,2.667 ± 1.155,2.6666666666666665,1.1547005383792515,protocl_late_fusion,0.428 ± 0.011,0.4276433440283796,0.010630786565145866,3,0.319 ± 0.033,0.31935049079023853,0.0327778325644225,0.393 ± 0.057,0.3932016076607261,0.0566371591375419,0.349 ± 0.019,0.34877473899496686,0.019077492231946852,0.333 ± 0.008,0.33341354579440435,0.007726367140655776,0.318 ± 0.014,0.31803868645973904,0.014303295632554783,0.654 ± 0.016,0.6537698412698413,0.016391579009780072,0.832 ± 0.011,0.8324782675486156,0.011189461092435623,0.317 ± 0.058,0.31666666666666665,0.05773502691896257
