config,ablation,seed,best_epoch,n_train,n_val,n_test,alpha,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6
protocl_gnn,full,43,3,17051,2273,3410,,,0.8595307917888563,0.3333333333333333,0.4255952380952381,0.3738562091503268,0.7846575154134523,0.37238142020716725,0.6662784258140472,0.44761904761904764,0.35233160621761656,0.25602027883396705
bilstm_ref,full,43,3,17051,2273,3410,,,0.8123167155425219,0.30412371134020616,0.7023809523809523,0.4244604316546763,0.8307879837035659,0.29005107263320346,0.7633570344207949,0.34051724137931033,0.3339920948616601,0.32653061224489793
protocl_late_fusion,full,43,3,17051,2273,3410,0.65,0.32499999999999996,0.8316715542521994,0.3290229885057471,0.6815476190476191,0.4437984496124031,0.8474721744585928,0.3561925772162268,0.7648141478452148,0.4533333333333333,0.34896810506566606,0.34523809523809523
