config,dataset,ablation,seed,best_epoch,n_train,n_val,n_test,alpha,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6
protocl_gnn,reveal,nodual,42,4,17051,2273,3410,,,0.8281524926686217,0.26325757575757575,0.41369047619047616,0.32175925925925924,0.7425672692629426,0.26203023261616,0.6435726291167085,0.3466666666666667,0.2698412698412698,0.23333333333333334
bilstm_ref,reveal,nodual,42,4,17051,2273,3410,,,0.826099706744868,0.2995319812792512,0.5714285714285714,0.3930399181166837,0.8137339475477894,0.2610971775384907,0.7126824054280138,0.30625,0.30625,0.3047337278106509
protocl_late_fusion,reveal,nodual,42,4,17051,2273,3410,0.65,0.32499999999999996,0.830791788856305,0.3171471927162367,0.6220238095238095,0.4201005025125628,0.8291062521299997,0.2918984005937798,0.7378173699538371,0.34459459459459457,0.33458646616541354,0.32063492063492066
