config,n_seeds,n_ood,n_ood_pos,f1_mean,f1_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,prec_at_rec_0.2_mean,prec_at_rec_0.2_std,prec_at_rec_0.4_mean,prec_at_rec_0.4_std,prec_at_rec_0.6_mean,prec_at_rec_0.6_std,alpha_mean,alpha_std,threshold_mean,threshold_std,best_epoch_mean,best_epoch_std
protocl_gnn,3,1110,110,0.22509777254435284,0.032923858523378854,0.15598009184016665,0.018309171043750648,0.6463606060606061,0.022892911554650213,0.1521885521885522,0.006274494564986874,0.46363636363636357,0.17320508075688773,0.20032165896015441,0.042834901348405306,0.17353694546677004,0.010569895402024316,0.15047842232455166,0.00788506719184393,0.6,0.04999999999999999,0.3916666666666666,0.07637626158259735,2.3333333333333335,0.5773502691896258
bilstm_ref,3,1110,110,0.03981485739747713,0.010138063373141394,0.097175536051947,0.0044422392736370555,0.5035818181818182,0.016548024275967688,0.0775381850853549,0.0073636393493846765,0.02727272727272727,0.00909090909090909,0.10851557979598049,0.002081986433981506,0.10851557979598049,0.002081986433981506,0.10808028534660154,0.0013300769336165124,0.6,0.04999999999999999,0.3916666666666666,0.07637626158259735,2.3333333333333335,0.5773502691896258
protocl_late_fusion,3,1110,110,0.05075811742478409,0.01054285708510237,0.13752743976380863,0.014789787407177724,0.6228909090909092,0.029882187402647368,0.11114832535885166,0.046191135785556094,0.03333333333333333,0.005248638810814779,0.17266355777947304,0.0320492996298579,0.15605168555030743,0.0163634078820812,0.1393279325928939,0.008514035500790279,0.6,0.04999999999999999,0.3916666666666666,0.07637626158259735,2.3333333333333335,0.5773502691896258
