config,ablation,seed,best_epoch,n_train,n_val,n_test,alpha,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6
protocl_gnn,full,42,2,17051,2273,3410,,,0.8451612903225807,0.27674418604651163,0.3541666666666667,0.31070496083550914,0.7629145753942435,0.27246584851026556,0.6264977770548688,0.375,0.26717557251908397,0.22595078299776286
bilstm_ref,full,42,2,17051,2273,3410,,,0.826099706744868,0.2995319812792512,0.5714285714285714,0.3930399181166837,0.8137339475477894,0.2610971775384907,0.7126824054280138,0.30625,0.30625,0.3047337278106509
protocl_late_fusion,full,42,2,17051,2273,3410,0.6000000000000001,0.37499999999999994,0.830791788856305,0.32305433186490456,0.6547619047619048,0.4326450344149459,0.8282474749821855,0.28784473994644905,0.752397217833132,0.3426183844011142,0.33281972265023113,0.33281972265023113
