config,dataset,seed,best_epoch,alpha,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6,split,n_ood,n_ood_pos,ckpt
protocl_gnn,wild_ood,43,3,0.65,0.32499999999999996,0.772972972972973,0.145,0.2636363636363636,0.1870967741935484,0.6199363636363636,0.1371373414184535,0.5463181818181818,0.1649122807017544,0.1649122807017544,0.1416490486257928,wild_ood,1110,110,C:\Users\admin\Desktop\NIR_1st_sem\results_publish\seed_43\protocl_best.pt
bilstm_ref,wild_ood,43,3,0.65,0.32499999999999996,0.8603603603603603,0.07547169811320754,0.03636363636363636,0.049079754601226995,0.5055090909090909,0.09622062091449385,0.49368181818181817,0.10743801652892562,0.10743801652892562,0.10743801652892562,wild_ood,1110,110,C:\Users\admin\Desktop\NIR_1st_sem\results_publish\seed_43\protocl_best.pt
protocl_late_fusion,wild_ood,43,3,0.65,0.32499999999999996,0.8666666666666667,0.06818181818181818,0.02727272727272727,0.03896103896103896,0.5884727272727274,0.12047077687173871,0.4931363636363636,0.1404494382022472,0.1371571072319202,0.12972972972972974,wild_ood,1110,110,C:\Users\admin\Desktop\NIR_1st_sem\results_publish\seed_43\protocl_best.pt
