accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6,group,name,n,n_pos
0.9426048565121413,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.5738691832085909,0.04924540276874613,0.5209079075821673,0.06,0.06,0.037037037037037035,project,freerdp/freerdp,453,14
0.8853503184713376,0.0,0.0,0.0,0.7708333333333334,0.24202566666951458,0.4929078014184397,0.2857142857142857,0.2692307692307692,0.26666666666666666,project,vim/vim,157,16
0.875,0.125,0.4,0.19047619047619047,0.7557251908396947,0.12877969698581873,0.6465648854961832,0.17647058823529413,0.17647058823529413,0.17647058823529413,project,gnome/libxml2,136,5
0.9340659340659341,0.0,0.0,0.0,0.7093023255813953,0.11139974542774839,0.4941860465116279,0.16,0.16,0.16,project,libssh2/libssh2,91,5
0.8607594936708861,0.0,0.0,0.0,0.5365296803652968,0.08982373539035998,0.4657534246575342,0.10810810810810811,0.10810810810810811,0.10810810810810811,project,hashcat/hashcat,79,6
0.8285714285714286,0.0,0.0,0.0,0.4899817850637523,0.1604648871820727,0.47540983606557374,0.23529411764705882,0.23529411764705882,0.1323529411764706,project,radareorg/radare2,70,9
0.5161290322580645,0.0,0.0,0.0,0.3907563025210084,0.4159515494863182,0.47058823529411764,0.4827586206896552,0.4827586206896552,0.4827586206896552,project,openssl/openssl,31,14
0.6296296296296297,0.0,0.0,0.0,0.5432098765432098,0.3738941699232452,0.4722222222222222,0.42857142857142855,0.4,0.4,project,python/cpython,27,9
0.9230769230769231,0.0,0.0,0.0,0.43999999999999995,0.06666666666666667,0.48,0.06666666666666667,0.06666666666666667,0.06666666666666667,project,redis/redis,26,1
0.391304347826087,0.0,0.0,0.0,0.5476190476190477,0.7056170956698329,0.5,0.7777777777777778,0.7777777777777778,0.6470588235294118,project,torvalds/linux,23,14
0.0,0.0,0.0,0.0,nan,1.0,0.0,nan,nan,nan,project,libevent/libevent,6,6
0.0,0.0,0.0,0.0,nan,1.0,0.0,nan,nan,nan,project,imagemagick/imagemagick,4,4
0.0,0.0,0.0,0.0,nan,1.0,0.0,nan,nan,nan,project,pnggroup/libpng,3,3
0.9736842105263158,0.0,0.0,0.0,0.72,0.03398478035281909,0.49333333333333335,0.04081632653061224,0.04081632653061224,0.04081632653061224,cwe,CWE-191,228,3
0.8711656441717791,0.0,0.0,0.0,0.5763888888888888,0.14363587947344178,0.4930555555555556,0.16417910447761194,0.16417910447761194,0.16,cwe,CWE-125,163,19
0.8225806451612904,0.0,0.0,0.0,0.5959821428571429,0.1340186928766599,0.45535714285714285,0.17857142857142858,0.17857142857142858,0.1509433962264151,cwe,CWE-121,124,12
0.7636363636363637,0.0,0.0,0.0,0.5502248875562219,0.22263271788598926,0.4827586206896552,0.27419354838709675,0.27419354838709675,0.27419354838709675,cwe,CWE-787,110,23
0.912621359223301,0.25,0.14285714285714285,0.18181818181818182,0.7857142857142857,0.28555593972830634,0.5558035714285714,0.5,0.5,0.2,cwe,CWE-190,103,7
0.8152173913043478,0.0,0.0,0.0,0.46348588120740025,0.1324291173664675,0.47468354430379744,0.16129032258064516,0.16129032258064516,0.16129032258064516,cwe,CWE-416,92,13
0.8648648648648649,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.7401709401709402,0.27841998291036063,0.5401709401709401,0.3,0.2857142857142857,0.2692307692307692,cwe,CWE-122,74,9
0.8636363636363636,0.0,0.0,0.0,0.5,0.07168504498573622,0.4596774193548387,0.0967741935483871,0.0967741935483871,0.0967741935483871,cwe,CWE-193,66,4
0.8888888888888888,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.5777777777777778,0.1339080459770115,0.625,0.25,0.1,0.1,cwe,CWE-908,63,3
0.696969696969697,0.0,0.0,0.0,0.465,0.24478625946766877,0.46,0.28,0.28,0.28,cwe,CWE-476,33,8
0.8571428571428571,0.0,0.0,0.0,0.3866666666666666,0.11026936026936027,0.48,0.13636363636363635,0.13636363636363635,0.13636363636363635,cwe,CWE-415,28,3
0.9230769230769231,0.0,0.0,0.0,0.28,0.05263157894736842,0.48,0.05263157894736842,0.05263157894736842,0.05263157894736842,cwe,CWE-252,26,1
0.92,0.0,0.0,0.0,0.8043478260869564,0.25,0.5,0.25,0.25,0.25,cwe,CWE-189,25,2
0.9565217391304348,0.0,0.0,0.0,0.2727272727272727,0.058823529411764705,0.5,0.058823529411764705,0.058823529411764705,0.058823529411764705,cwe,CWE-59,23,1
0.9565217391304348,0.0,0.0,0.0,0.2727272727272727,0.058823529411764705,0.5,0.058823529411764705,0.058823529411764705,0.058823529411764705,cwe,CWE-22,23,1
0.6923076923076923,0.0,0.0,0.0,0.4333333333333333,0.2611111111111111,0.45,0.3333333333333333,0.3333333333333333,0.3333333333333333,cwe,CWE-617,13,3
0.8181818181818182,0.0,0.0,0.0,0.8888888888888888,0.75,0.5,1.0,1.0,0.5,cwe,CWE-362,11,2
0.7777777777777778,0.0,0.0,0.0,0.5,0.29166666666666663,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,cwe,CWE-120,9,2
0.0,0.0,0.0,0.0,nan,1.0,0.0,nan,nan,nan,cwe,CWE-78,8,8
1.0,0.0,0.0,0.0,nan,0.0,0.5,nan,nan,nan,cwe,CWE-77,7,0
1.0,0.0,0.0,0.0,nan,0.0,0.5,nan,nan,nan,cwe,CWE-184,7,0
0.0,0.0,0.0,0.0,nan,1.0,0.0,nan,nan,nan,cwe,CWE-825,4,4
