config,dataset,ablation,seed,best_epoch,n_train,n_val,n_test,alpha,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6
protocl_gnn,reveal,nodual,43,2,17051,2273,3410,,,0.8583577712609971,0.33557046979865773,0.44642857142857145,0.3831417624521073,0.7870629627908418,0.35340765364635346,0.674905892740961,0.45161290322580644,0.3655913978494624,0.2384887839433294
bilstm_ref,reveal,nodual,43,2,17051,2273,3410,,,0.8123167155425219,0.30412371134020616,0.7023809523809523,0.4244604316546763,0.8307879837035659,0.29005107263320346,0.7633570344207949,0.34051724137931033,0.3339920948616601,0.32653061224489793
protocl_late_fusion,reveal,nodual,43,2,17051,2273,3410,0.7000000000000001,0.27499999999999997,0.8082111436950147,0.3070388349514563,0.7529761904761905,0.4362068965517241,0.8425765638070452,0.33548176108806893,0.7836123632927472,0.3858695652173913,0.35514018691588783,0.3451178451178451
