config,dataset,ablation,seed,best_epoch,n_train,n_val,n_test,alpha,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6
protocl_gnn,reveal,noproto,43,4,17051,2273,3410,,,0.8580645161290322,0.3418803418803419,0.47619047619047616,0.39800995024875624,0.7822544884902561,0.37368444214094004,0.6879976453821607,0.4726027397260274,0.41033434650455924,0.2696929238985314
bilstm_ref,reveal,noproto,43,4,17051,2273,3410,,,0.8123167155425219,0.30412371134020616,0.7023809523809523,0.4244604316546763,0.8307879837035659,0.29005107263320346,0.7633570344207949,0.34051724137931033,0.3339920948616601,0.32653061224489793
protocl_late_fusion,reveal,noproto,43,4,17051,2273,3410,0.65,0.35,0.8378299120234605,0.3333333333333333,0.6458333333333334,0.4397163120567376,0.8451223975276512,0.34182773856870285,0.7523246042073304,0.41711229946524064,0.3629032258064516,0.34201954397394135
